0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1202.2778,131.05484,1202.8989,119.56311,1199.815,120.648865,1167.2728,117.65979,1203.535,123.79474,1133.702,160.18854,1208.231,170.16064,1125.2814,240.4101,1232.4551,239.92923,1240.2336,293.0905,1240.5869,292.77094,1139.4814,320.8016,1183.346,316.35925,1144.9976,358.84583,1185.2546,361.32587,1144.7284,310.1082,1148.7723,310.98636
856.8474,433.9026,866.4474,418.9936,856.00745,420.5631,896.29004,425.4939,872.93506,430.575,916.81604,489.0774,883.1648,498.40546,902.56335,372.05347,902.44824,374.66187,891.92773,268.42358,892.7084,277.11743,909.06714,697.5239,878.80493,694.97156,922.249,872.3274,897.73413,868.8071,943.69165,1015.371,935.0127,1003.9131
855.3932,433.3933,864.0864,419.498,857.02454,420.2716,895.7012,423.85217,891.8181,425.6178,920.33765,490.8255,891.46826,494.91235,900.6199,369.73743,909.61633,384.53253,892.3937,249.23956,894.6172,249.38611,909.69385,696.62585,882.44934,693.52185,924.0664,870.9142,902.57007,866.41614,942.16724,1019.1644,940.0657,1006.4479
855.25586,433.19247,864.14954,419.97336,856.4335,421.32852,898.3749,425.23605,886.07556,427.97214,922.31934,493.12662,888.74036,497.22708,903.5408,370.94876,906.0736,370.9836,892.00354,262.00247,892.5641,261.98245,911.25085,700.86255,881.5536,698.5593,923.5321,872.9824,901.91785,868.1837,942.9142,1021.92847,944.01794,1004.08496
855.5486,434.05008,864.6814,420.4451,856.1267,421.8602,900.6393,424.3278,884.5543,427.94107,922.89343,489.4393,889.1074,496.50546,904.5393,366.16055,901.4142,373.21146,890.5277,255.83096,887.9828,255.7706,911.251,701.43604,882.1189,699.5437,925.83826,873.6594,909.1212,869.43274,942.91785,1022.3175,943.7312,1007.93506
854.8171,431.1864,864.7288,417.09265,857.47943,418.4569,897.383,423.92163,886.7902,428.1432,923.436,490.05316,889.1309,495.9944,904.4058,361.14807,899.27875,369.8086,891.62823,256.8003,889.8592,256.30725,912.3204,698.48096,883.07477,695.989,925.733,871.91833,908.34393,867.9619,941.7675,1021.64746,943.9722,1003.75146
852.98083,432.35135,862.7407,419.2288,856.3198,419.31424,896.75757,424.0518,884.23157,427.83536,921.5729,487.74155,887.5078,493.84268,904.8491,370.58597,906.91736,372.97678,892.2263,249.03976,895.8705,280.86996,911.62756,698.94727,881.567,695.91895,925.937,872.13025,907.3236,867.6516,942.0431,1022.9276,945.4309,1000.98474
