0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
459.17017,782.1654,0.9862207,466.19568,774.05383,0.96191084,459.74927,774.322,0.97342956,496.38135,775.4552,0.986953,490.80487,775.73535,0.7114746,509.7162,826.93726,0.9161057,490.64093,827.17664,0.8391858,421.95874,794.4719,0.873345,418.7928,813.7106,0.9047018,352.47083,750.0156,0.9078467,359.95868,775.98035,1.0063537,506.8058,993.00757,0.87618184,486.90924,991.04224,0.8107755,507.2826,1116.7103,0.9518971,496.92737,1111.9851,0.9216294,509.88074,1237.5774,0.9227681,496.85406,1211.9905,0.89080507
455.03372,784.70215,0.9929565,461.5911,775.5215,0.9927008,455.0212,776.3755,0.97675455,492.71573,775.3386,0.9878109,488.44852,776.0823,0.71383345,508.3729,826.0299,0.8957317,489.66653,826.36865,0.83134913,418.20804,794.65173,0.8643315,416.78085,814.0155,0.8956257,349.54214,753.18994,0.9101403,358.62277,777.4066,1.0117071,506.94315,992.49817,0.8614754,487.91995,991.04724,0.82788104,508.2675,1118.0986,0.94334567,497.23856,1112.7228,0.93042976,509.3832,1238.6715,0.9324365,496.32706,1212.3153,0.89948726
452.4018,785.9794,0.9629807,458.1056,777.0962,0.965361,452.1231,777.90796,0.9634607,485.97406,775.59314,0.9580045,484.67706,776.75183,0.712325,504.81415,822.9287,0.91401196,488.60516,825.27,0.82046366,415.41083,797.4252,0.88774455,412.02728,814.2367,0.9302498,346.09955,759.49036,0.9438276,352.67493,777.98975,0.9585103,508.8382,993.3541,0.8695843,490.62506,991.8036,0.8012836,508.284,1118.0272,0.97370785,498.8764,1112.8568,0.9347667,509.75702,1238.6705,0.9359623,497.18433,1212.5555,0.92632747
447.1118,789.9271,0.96839756,452.23923,779.90247,0.9997562,446.4022,781.4459,0.95127577,481.45255,775.92834,0.97677404,482.28946,777.6492,0.70252585,501.3063,820.9592,0.91589373,486.32217,824.97034,0.7613306,411.7952,802.3412,0.8658298,407.69418,817.4166,0.93258405,342.40408,768.60547,0.90579593,346.39334,781.8882,0.9413163,510.82877,992.56067,0.8590101,493.8716,991.1195,0.7969287,508.75473,1118.5948,0.96571374,500.27884,1112.8492,0.93372387,510.46176,1238.4452,0.9308678,497.79312,1211.1903,0.9093709
442.56244,794.5846,0.96851826,446.5135,783.76025,1.0041147,441.10315,785.824,0.96900964,476.3509,777.4863,0.9766849,477.7932,779.1892,0.70138884,498.22833,821.24304,0.9348668,486.53082,826.92847,0.7359661,407.167,808.605,0.84403944,409.4525,823.1196,0.88057154,334.41785,780.01514,0.88819486,343.43427,793.10474,0.83196104,514.39575,993.79297,0.8213501,497.3709,992.9695,0.8148538,509.8614,1118.8481,0.9662077,501.3083,1112.9089,0.9545187,509.93353,1238.5017,0.9496856,496.87744,1212.008,0.9495595
436.66122,800.26117,1.0533122,440.37943,788.54315,1.0486164,434.9017,790.65485,0.9562623,470.6165,780.25555,0.9881873,471.1381,782.20807,0.7405715,493.70657,820.904,0.88658345,479.5942,829.0025,0.7286767,399.3198,817.8265,0.9096169,398.6788,830.6053,0.87779915,317.8983,797.014,0.8606949,331.05502,805.7266,0.6687486,517.94946,993.8532,0.8476391,495.89487,994.2498,0.79864514,511.60233,1117.1499,0.9637872,499.95212,1110.0571,0.9294485,510.7922,1238.2009,0.93580043,497.3264,1210.5078,0.906607
430.00928,808.18555,1.0083876,433.73193,795.4724,1.015982,427.71436,798.35986,0.97524786,463.93817,785.0143,0.96921873,464.02588,787.4055,0.68826675,489.04675,823.99146,0.9667989,481.95728,830.88525,0.7241831,402.38135,832.97266,0.9021666,396.0243,843.567,0.7888154,305.34406,819.7919,0.94510895,326.91943,827.1831,0.6742645,521.2609,994.14636,0.8688173,500.07397,994.4851,0.8311871,512.20874,1116.0109,0.9355161,499.3213,1109.1545,0.9198043,510.03003,1238.1212,0.9329834,494.0642,1210.5355,0.95380807
424.73706,815.95825,1.0025142,426.70184,803.3225,1.0082177,421.98938,806.8956,0.9804083,450.79395,788.2229,0.9855766,454.56366,789.3291,0.6580495,481.62415,827.042,0.97775245,478.77094,830.6941,0.7103708,392.5775,849.5708,0.8833746,389.60675,856.45483,0.755547,308.33594,849.0519,0.90061134,315.76343,850.3375,0.64098895,523.6964,994.4027,0.84851503,504.16998,994.03503,0.807558,512.93524,1116.4543,0.9291016,497.81976,1107.2981,0.9031007,509.9209,1239.0029,0.9398823,493.8158,1211.1547,0.962667
418.19867,824.3421,0.96589684,419.3529,811.8399,1.011797,414.48724,815.68475,0.9524038,445.6856,795.5776,0.96675205,447.1963,796.16595,0.6917664,472.56024,834.2292,0.92445886,477.77728,834.4709,0.75851595,390.35712,868.70966,0.8870425,389.75482,875.1082,0.5722027,296.122,883.6193,0.8912995,314.21924,886.18536,0.3374992,532.4512,996.9025,0.82759047,508.8739,996.94977,0.83848846,513.4825,1116.9268,0.9378424,498.25452,1104.4443,0.91674006,510.76105,1237.7659,0.904034,495.82532,1208.052,0.9458573
410.7967,835.1642,0.9841787,411.63403,822.8259,0.9796202,405.82385,827.1481,0.9796756,435.70032,805.0421,0.9475168,434.37628,806.26917,0.6333654,468.00983,842.0891,0.954449,465.21875,844.1675,0.7738602,388.6004,893.4796,0.9363135,385.55115,898.7156,0.7248513,306.476,924.4856,0.92851204,311.6645,926.3562,0.77561903,535.9146,996.85706,0.8446372,513.98486,997.0587,0.8023745,513.37714,1115.3761,0.9165088,497.56488,1102.2366,0.94874865,510.62457,1238.5149,0.9226062,494.0794,1206.9694,0.93738633
