0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
714.38873,188.36261,0.8914417,714.4677,175.76276,0.8288065,709.01447,176.23352,0.8407079,683.45386,169.97516,0.8008152,680.70416,172.95166,0.990391,662.32434,210.62653,0.88246095,655.10675,219.25592,0.93457246,741.8859,146.50983,0.90431285,752.3538,170.88629,0.85498023,810.7496,78.89221,0.96775603,817.929,91.826294,0.8368617,643.5644,406.67572,0.8334452,629.69916,411.0736,0.89465654,650.1342,542.53204,0.8909236,643.214,552.8164,0.9282416,640.11395,649.0523,0.89919436,632.32764,683.55304,0.97684085
716.392,191.18192,0.8718536,716.9067,180.50296,0.8716228,710.2499,181.61429,0.94585204,683.1938,175.45267,0.7172172,680.59064,178.8129,1.0045205,662.68524,210.5015,0.82109946,660.11615,227.71976,0.9452692,750.6618,166.27512,0.8394427,759.8493,197.30942,1.0158696,825.9014,112.859344,0.9288392,834.6894,129.0145,0.93680847,633.7309,410.3622,0.80103415,623.209,415.89578,0.8962177,651.8723,541.4806,0.8791893,649.75885,550.9026,0.9151151,640.277,649.6481,0.8844848,633.46246,683.72546,0.9614109
716.70496,197.45682,0.9665494,719.0111,186.54245,0.9472158,710.9973,186.68582,1.0047895,685.72205,181.70224,0.7605102,680.44934,184.27072,0.98996687,665.9249,221.40683,0.82204455,655.9271,233.72159,0.906324,755.6968,192.9855,0.81505513,762.0508,228.9938,0.9550456,840.3772,152.27408,0.9303839,849.29285,169.60806,0.9712476,633.66284,410.19272,0.7909595,616.39185,415.36465,0.8589251,658.60767,545.4424,0.8731497,659.1509,555.02893,0.9545076,642.1493,651.66956,0.93489265,639.1184,686.3887,0.9681276
717.68243,206.28769,0.94803023,719.9069,195.33456,0.9775645,713.18207,195.44565,1.002549,686.4622,191.85458,0.73795897,681.61725,193.80429,0.9936005,667.3225,231.69559,0.8100739,653.47003,244.98917,0.9241209,754.8796,229.53152,0.8817104,758.37067,268.90622,0.933324,842.3073,211.27316,0.9188438,851.50214,231.80893,0.98577845,632.4772,415.3527,0.76235473,611.2734,421.57614,0.862337,663.61255,543.8972,0.8984053,672.20087,553.5845,0.9570433,644.41846,652.16077,0.9154959,642.3555,685.8612,0.9410217
719.75793,217.95554,1.007906,722.26086,207.2645,0.9582545,714.2657,207.54617,1.0198092,686.88556,204.68295,0.7157409,682.00305,206.33377,1.0399148,673.4839,246.78067,0.83935165,654.0422,260.59396,0.9130683,745.25745,271.37027,0.90359086,744.51154,316.96432,0.86667943,826.87115,281.2415,0.9300369,849.764,307.38388,0.88495696,628.9396,424.34628,0.7622881,605.47266,430.70468,0.8613078,669.93317,543.80664,0.9150982,682.18524,553.7124,0.9716984,647.0335,651.9811,0.833266,644.544,687.8269,1.0156289
720.45245,230.68439,0.9970096,722.87714,219.63977,0.9285126,716.7181,219.28058,1.0064952,687.1284,212.14929,0.7415512,686.49866,213.38062,0.97644806,677.80365,258.54907,0.8613728,656.25934,271.01355,0.8966104,737.46454,294.878,0.9381528,731.69305,342.05957,0.99719983,814.9733,317.2807,0.9343658,837.5428,348.703,0.87371397,631.3201,425.60266,0.7394169,603.9831,432.59186,0.8736543,673.5812,545.4199,0.8775873,685.9006,555.75494,0.97981,648.3616,651.59314,0.90083915,645.5714,689.3524,0.9555753
728.0626,240.69208,0.96989614,730.2124,229.31433,0.95107734,723.1964,229.54407,0.9928806,693.3102,228.57361,0.7276925,690.8767,229.88782,0.98152167,674.24524,275.17023,0.89963794,658.2324,288.50824,0.917832,711.7904,339.1977,0.9654563,701.7516,385.8838,0.95783824,771.708,387.25098,0.9063778,792.7876,429.68097,0.9074335,629.76196,436.68164,0.7699044,600.0664,444.24078,0.85393196,681.1885,544.3121,0.8891746,689.3541,558.539,0.97419727,651.1199,652.408,0.91574967,648.65173,695.81866,0.8814875
733.8917,260.66177,0.98506385,735.2278,250.07278,0.9559952,729.01965,250.08212,1.0003353,697.9973,246.92801,0.759619,699.41284,248.90079,0.9964348,673.37524,294.33633,0.83127916,666.5731,308.6575,0.9377359,686.0005,397.51248,0.95031726,670.5469,411.82224,0.92330706,718.7937,457.47446,0.9111345,719.65735,490.42337,0.85395753,626.83484,446.60776,0.7426473,599.2798,456.17215,0.85815454,687.05115,542.57605,0.750636,693.2472,565.4757,0.9696003,650.00574,646.4315,0.94511986,651.9988,698.02026,0.9452791
746.4843,288.6699,0.98041046,747.2518,277.90616,0.9351011,741.7895,277.93564,0.9912317,706.4963,276.955,0.76480603,711.6152,279.54776,0.99679554,671.2708,316.27542,0.82050025,672.5067,340.7714,0.91633797,639.798,407.52365,0.33835024,629.80975,435.71567,0.9270923,648.026,468.58505,0.3698746,602.43414,527.8617,0.9064112,622.32544,464.00247,0.65482783,598.7802,476.5751,0.8306041,704.9634,549.58374,0.865273,699.288,574.07153,0.9763384,650.932,647.3351,0.9667393,652.9856,701.2886,0.94616735
751.7977,307.01984,0.959765,752.6076,296.13086,0.9136969,746.7516,296.55798,0.97567654,709.68884,295.40485,0.7592744,717.5464,299.11426,1.0064768,664.2119,330.59735,0.8698441,673.73834,357.45343,0.912812,591.31854,379.06525,0.97658265,604.21234,432.29047,0.93047297,551.8959,449.5434,1.0501385,545.1936,504.81757,0.87593096,622.69635,480.74188,0.62597024,601.79395,492.8883,0.8410411,709.97675,554.5909,0.89794946,704.5541,577.8652,0.9649508,649.09625,650.13916,0.8653164,653.641,702.803,0.9454048
