0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
536.388,819.1602,0.90882194,534.1728,811.424,0.8165166,534.6142,811.25946,0.94083434,501.94916,811.5993,0.9018895,523.30634,810.80316,0.9523955,480.06293,844.5356,0.9361821,523.8715,844.89166,0.8840117,486.77814,896.85516,0.8196807,573.8588,885.9234,0.94007695,524.95764,913.6551,1.0013801,614.64825,911.8487,0.9790552,458.8203,959.0704,0.8479979,489.3952,961.07526,0.84176743,483.7008,1038.2585,0.9480772,517.1059,1046.0839,1.0052323,495.49042,1121.3253,0.9426406,523.5711,1136.2836,0.94005513
537.94977,814.4852,0.9422623,536.428,806.9796,0.81976604,536.223,806.8462,0.9712078,503.13202,807.7135,0.8693404,524.82227,806.8794,0.95519114,479.33948,840.32336,0.94924766,524.66864,841.16675,0.9159323,483.26624,891.7704,0.7004528,571.29126,888.02576,0.95578134,508.95154,925.775,0.7802301,613.36957,924.9916,0.9698054,452.2511,952.43225,0.8420526,483.287,954.5001,0.8469708,482.6983,1031.678,0.96743643,517.63306,1037.8112,0.9673278,489.1106,1114.499,0.9378194,517.2943,1130.6997,0.9459579
538.16455,814.38916,0.9526669,537.461,807.14954,0.8941969,537.006,807.00183,0.9602311,504.347,807.4629,0.8595027,527.98157,807.3722,0.95362246,480.46057,838.14026,0.9343364,524.89984,840.99255,0.9002074,469.7417,897.2627,0.49713054,567.2912,892.05334,0.9572357,446.16235,957.68176,0.3345974,606.1622,936.7986,0.97622675,448.9383,948.76794,0.8529545,478.95227,951.2129,0.83281183,484.1148,1025.3158,0.9487219,519.64386,1032.7377,0.97533023,481.72064,1111.8906,0.94518346,509.0578,1126.2972,0.93140066
540.4513,819.2516,0.9341552,538.9795,811.26,0.84610796,539.9872,811.5464,0.9470829,507.40524,811.084,0.8928374,530.07043,811.3972,0.96039134,478.06985,840.9584,0.9472893,525.829,844.50146,0.91743684,448.36734,893.57263,0.9346032,558.1001,893.1698,0.94175863,448.16043,943.1316,0.77896637,592.8081,943.2567,0.97573435,444.91086,950.4707,0.82073534,476.2515,953.3562,0.82961303,484.21597,1023.2046,0.9605478,520.8258,1030.8085,0.98486227,475.02707,1109.4587,0.9211823,499.79318,1122.1509,0.94237924
542.50543,826.6717,0.9125669,541.5127,818.9246,0.87120795,541.9769,818.8886,0.91125256,508.2331,817.6916,0.8590245,532.38074,818.95087,0.9683546,477.50488,845.84674,0.9368452,526.8016,849.5621,0.9163627,438.70282,891.0833,0.9624446,548.39777,894.81244,0.94334555,423.63947,934.43695,0.93755174,574.2136,946.9135,0.97661334,439.63867,952.65155,0.819057,473.11157,957.30646,0.811809,484.34253,1021.8958,0.89371216,521.7384,1030.6316,0.9548954,468.47083,1107.4269,0.92101884,490.63556,1116.7632,0.90367913
544.2977,837.6698,0.9507284,543.5,829.96875,0.8808768,543.64935,829.7572,0.93214154,509.28125,827.8114,0.81521165,532.94977,829.223,0.9859744,476.46625,855.1588,0.9342606,526.6371,856.9933,0.93209374,430.3098,888.9686,0.9437665,537.0669,893.7462,0.9131348,401.7262,927.569,0.9420751,551.5712,947.9404,0.9426398,435.737,960.16223,0.85141504,470.44183,963.9719,0.8329834,485.89563,1023.3425,0.91557777,521.3644,1031.9296,0.9668562,463.23816,1107.9907,0.9357813,482.90863,1114.8253,0.9453528
545.42163,849.81134,0.9359358,544.8447,842.5296,0.8882104,544.6288,842.24457,0.9234594,510.6102,840.73004,0.9088486,535.19324,841.88226,0.94724095,477.78836,865.2436,0.92431176,526.9004,867.40717,0.90490055,422.49442,888.611,0.94679195,525.0217,897.7707,0.9248688,383.76187,923.62286,0.9731292,527.239,941.9283,0.9428192,430.93692,968.16986,0.79703856,465.9398,970.8947,0.81086206,486.11716,1028.9062,0.9222701,520.26404,1035.5647,0.9539488,458.36996,1110.8276,0.8925731,476.29178,1114.5334,0.9460412
547.3882,863.4086,0.94138217,546.7811,856.3543,0.8366908,546.80273,856.2819,0.941973,513.00476,854.8378,0.7880856,536.0276,856.633,0.96618354,477.47562,879.0799,0.9112401,527.62317,879.4743,0.8911842,418.6373,889.0644,0.9363496,512.99133,897.65875,0.95933425,374.9664,915.4388,0.98097044,503.86087,936.82623,0.94419646,425.10977,979.3206,0.8392302,458.29733,981.66925,0.81329393,483.94772,1036.2496,0.9283803,518.3721,1042.4866,0.9639851,455.06485,1117.4067,0.8881336,470.60513,1121.0131,0.9012329
548.1066,899.42395,0.93681884,547.6786,892.21313,0.86636364,547.62335,891.91846,0.97146314,516.0765,886.958,0.77146983,537.98425,890.6367,0.944688,481.33228,906.6576,0.82841617,527.51685,912.251,0.91382945,427.7071,896.92334,0.9492871,496.42426,908.9707,1.0462762,375.79504,910.23035,0.98252124,463.51404,938.1841,0.95694137,418.61035,1006.8052,0.8025538,450.43927,1012.58386,0.79661214,479.25043,1060.7437,0.9262316,511.96912,1066.2858,0.9906622,450.60962,1140.879,0.87743294,466.5091,1147.5396,0.94395876
548.54065,917.5156,0.93188876,547.6461,910.02527,0.85592437,548.33044,909.7748,0.9686521,516.1222,905.104,0.79595596,539.0707,908.7311,0.94658154,479.62943,920.7733,0.7126956,526.06335,930.76904,0.93358076,430.5059,909.0215,0.95093185,491.4263,922.13904,0.98050773,379.1915,920.4857,0.9831818,450.98203,948.3954,0.9335018,417.34402,1021.5519,0.7806723,448.58664,1028.8956,0.81711113,475.19455,1080.6641,0.8768905,504.23123,1089.5239,0.95765555,446.96793,1163.3772,0.90812147,462.37296,1176.1818,0.89608777
