angle_left_ankle_knee_hip,angle_right_ankle_knee_hip,angle_left_knee_hip_shoulder,angle_right_knee_hip_shoulder,angle_left_ankle_knee,angle_right_ankle_knee,angle_left_knee_hip,angle_right_knee_hip,angle_left_hip_shoulder,angle_right_hip_shoulder
168.48839076521963,173.24903372162373,173.83517843841486,173.42074821904384,85.20337068937137,87.69487219179855,96.71497992415172,94.44583847017492,90.55015836256656,87.86658668921872
165.52240481351623,168.31673681495352,170.1079331858845,169.7811706958532,84.25639540077292,85.295483059877,98.7339905872567,96.97874624492349,88.84192377314122,86.7599169407767
159.2566149964078,162.8676017171027,164.03720785044007,164.30414798318333,82.45474183740474,83.48009699350895,103.19812684099696,100.61249527640626,87.23533469143698,84.9166432595896
154.73516487572417,155.1174513574256,159.51169733733315,157.34166712177347,81.09189683704146,80.99327052171256,106.35673196131732,105.87581916428692,85.86842929865043,83.21748628606039
150.58348294281922,148.76277220338366,153.08867537223483,152.16510650536102,80.42522263256856,78.36801594756446,109.84173968974936,109.60524374418084,82.93041506198416,81.77035024954185
145.3904557011457,144.98827803882034,148.87661509315683,148.83809501912168,78.68885845437511,76.57534828521872,113.29840275322942,111.58707024639835,82.17501784638623,80.42516526552006
142.75093360613045,141.59299283844857,146.11230771389728,144.47850690718067,78.0741147752145,75.99168982060986,115.32318116908402,114.39869698216133,81.43548888298132,78.87720388934196
143.84072592119992,140.35261069691103,142.44523176561106,142.9533202881496,79.14936223119282,74.62355474801467,115.30863630999292,114.27094405110364,77.753868075604,77.2242643392532
143.93557260085416,140.0069133113256,141.3979015294221,141.77835985336793,79.210752933007,74.33269272859765,115.27518033215284,114.32577941727207,76.67308186157494,76.10413927063998
144.9205380408633,142.36996564256444,143.613188253478,145.46382369274372,79.36520711291561,74.20939583542048,114.44466907205226,111.83943019285604,78.05785732553028,77.30325388559976
137.10357620890596,136.6462152041304,134.16596593462447,132.754956522129,76.8290865376987,74.73250861807718,119.72551032879272,118.08629341394678,73.89147626341718,70.84124993607577
134.37368992153634,132.11413755998254,128.2934351314918,126.29165559109128,76.93334294627864,73.35678425773408,122.5596530247423,121.24264669775152,70.85308815623408,67.53430228884278
132.47657861277597,130.41493793160268,122.29736946818758,122.64137937020816,76.92978360195536,73.24405147598142,124.4532049891794,122.82911354437876,66.75057445736698,65.47049291458693
