angle_left_shoulder_elbow_wrist,angle_right_shoulder_elbow_wrist,angle_left_shoulder_eye_elbow,angle_right_shoulder_eye_elbow,angle_left_hip_shoulder_elbow,angle_right_hip_shoulder_elbow,angle_left_hip_shoulder,angle_right_hip_shoulder,angle_left_shoulder_elbow,angle_right_shoulder_elbow,angle_left_elbow_wrist,angle_right_elbow_wrist
132.07136953984832,146.12543574149151,60.67113692624682,76.9212712278259,80.30742881271055,94.3410873939956,87.62676546054844,85.50136835679163,12.06580572674102,0.1575442492123478,35.86282473341069,33.7170200092957
132.81493236308964,148.67252933293224,62.20216704799922,74.11811912645005,81.8590668421895,93.9793382176272,87.34608520116,85.48407663697529,10.794847956650504,0.5365851453975001,36.39021968025986,30.790885521670237
137.62701672859524,149.0644893834642,67.41673089445847,71.30538459059888,82.32098475221723,91.56680792447628,88.11180561823882,85.10431162807512,9.567209629543962,3.328880447448615,32.80577364186082,27.60663016908717
145.086203028336,151.60313193889723,70.79821188933873,68.286479409588,82.5529594211312,89.24204914158032,87.77243475128691,84.4885061667077,9.674605827581894,6.269444691711975,25.2391911440821,22.127423369390804
146.20740036766756,153.49233048222086,72.19121571538966,68.96316879949391,80.32804798323941,83.32429183615221,86.17474757667577,84.7548573022747,13.497204440084865,11.92085086157313,20.29539519224763,14.586818656206049
155.07430383193926,157.24571618179954,68.69462037361693,63.445938677998505,77.12443035438493,78.55313275618401,85.69792138654773,84.4544559089577,17.17764825906733,16.99241133485829,7.748047908993423,5.761872483342184
153.53632568738047,161.84285706144823,61.08880423819643,56.68946348014636,69.83252382530368,71.85984707732457,84.18692251301475,83.77976950256195,25.980553661681583,24.36038342011349,0.4831206509382036,6.203240481561687
162.10049596192886,162.06154557630208,56.35921427912626,48.914867548400096,65.10410725182773,64.18643809957808,83.68982851770566,82.50834062308857,31.206064230466627,33.30522127733335,13.306560192395468,15.36676685363543
163.0651997643994,165.3655356200496,52.96956292343056,44.759811656568495,57.85254669596487,59.15064611168739,83.9083968171323,80.98896646295564,38.23905648690284,39.860387425356976,21.30425625130224,25.22592304540657
162.384991216352,167.53610270644083,48.42133840434486,41.088111749745686,50.15067591482328,53.22915636706859,83.46974598449985,80.31830019724852,46.37957810067687,46.4525434356829,28.764569317028872,33.9886461421237
164.4941046691973,169.38179336671487,43.14794041895689,35.54987041974213,43.18346741451607,45.70526570714578,82.2714503091126,80.3688198433671,54.54508227637136,53.92591444948713,39.03918694556867,43.307707816201976
164.92556696961665,168.0384145290815,40.858661137246806,31.79301127998304,37.70192769285436,36.30182508842354,80.08565735756676,79.52981612098611,62.2124149495789,64.16835879059036,47.13798191919553,52.20677331967187
161.29069956337776,171.0664067173006,36.40769899307824,28.040080460832627,27.02638331436328,27.316217584467356,78.7637245101904,78.5484382393649,74.20989217544633,74.13534417616775,55.500591738824106,65.20175089346834
166.05668179014725,168.49805650015347,28.71610200026613,22.14189215630824,14.99894854492222,18.49460698751481,76.61166133955395,75.8655470838763,88.38939011552388,85.63984592860892,74.4460719056711,74.13790242876237
158.67649323568324,167.32753158375778,23.16698428212894,15.014294412838598,7.315348238119482,6.949749747905859,74.70148406959713,72.91737025402026,97.9831676922834,100.13287999807392,76.65966092796661,87.46041158183166
169.63637811769595,168.69048512674394,17.438447702484726,8.184656356745453,4.92591391388124,7.893665860392889,71.23898152361483,70.45583993886542,113.68693239026646,117.4378259215275,103.3233105079624,106.1283110482714
166.42241683435336,179.1462246305124,13.591519451658568,0.180911154748037,13.3019693910125,24.425657926747032,68.64484729007299,67.503865379994,124.6571221009395,136.92179254675304,138.2347052665862,137.7755679162407
